tag,nelems,force,nincs,method,cpu_time_seconds
ne10_f1000_inc10,10,-1000.0,10,HD,0.11000
ne10_f1000_inc10,10,-1000.0,10,FD,0.11000
ne10_f1000_inc10,10,-1000.0,10,CS,0.10000
ne10_f1000_inc10,10,-1000.0,10,Exact,0.10000
ne10_f1000_inc20,10,-1000.0,20,HD,0.18000
ne10_f1000_inc20,10,-1000.0,20,FD,0.18000
ne10_f1000_inc20,10,-1000.0,20,CS,0.18000
ne10_f1000_inc20,10,-1000.0,20,Exact,0.19000
ne10_f5000_inc10,10,-5000.0,10,HD,0.23000
ne10_f5000_inc10,10,-5000.0,10,FD,0.19000
ne10_f5000_inc10,10,-5000.0,10,CS,0.20000
ne10_f5000_inc10,10,-5000.0,10,Exact,0.19000
ne10_f5000_inc20,10,-5000.0,20,HD,0.34000
ne10_f5000_inc20,10,-5000.0,20,FD,0.30000
ne10_f5000_inc20,10,-5000.0,20,CS,0.31000
ne10_f5000_inc20,10,-5000.0,20,Exact,0.31000
ne20_f1000_inc10,20,-1000.0,10,HD,0.13000
ne20_f1000_inc10,20,-1000.0,10,FD,0.12000
ne20_f1000_inc10,20,-1000.0,10,CS,0.11000
ne20_f1000_inc10,20,-1000.0,10,Exact,0.11000
ne20_f1000_inc20,20,-1000.0,20,HD,0.22000
ne20_f1000_inc20,20,-1000.0,20,FD,0.19000
ne20_f1000_inc20,20,-1000.0,20,CS,0.19000
ne20_f1000_inc20,20,-1000.0,20,Exact,0.18000
ne20_f5000_inc10,20,-5000.0,10,HD,0.24000
ne20_f5000_inc10,20,-5000.0,10,FD,0.20000
ne20_f5000_inc10,20,-5000.0,10,CS,0.22000
ne20_f5000_inc10,20,-5000.0,10,Exact,0.20000
ne20_f5000_inc20,20,-5000.0,20,HD,0.32000
ne20_f5000_inc20,20,-5000.0,20,FD,0.27000
ne20_f5000_inc20,20,-5000.0,20,CS,0.27000
ne20_f5000_inc20,20,-5000.0,20,Exact,0.27000
ne50_f1000_inc10,50,-1000.0,10,HD,0.19000
ne50_f1000_inc10,50,-1000.0,10,FD,0.14000
ne50_f1000_inc10,50,-1000.0,10,CS,0.14000
ne50_f1000_inc10,50,-1000.0,10,Exact,0.14000
ne50_f1000_inc20,50,-1000.0,20,HD,0.33000
ne50_f1000_inc20,50,-1000.0,20,FD,0.25000
ne50_f1000_inc20,50,-1000.0,20,CS,0.25000
ne50_f1000_inc20,50,-1000.0,20,Exact,0.24000
ne50_f5000_inc10,50,-5000.0,10,HD,0.32000
ne50_f5000_inc10,50,-5000.0,10,FD,0.25000
ne50_f5000_inc10,50,-5000.0,10,CS,0.23000
ne50_f5000_inc10,50,-5000.0,10,Exact,0.24000
ne50_f5000_inc20,50,-5000.0,20,HD,0.38000
ne50_f5000_inc20,50,-5000.0,20,FD,0.30000
ne50_f5000_inc20,50,-5000.0,20,CS,0.28000
ne50_f5000_inc20,50,-5000.0,20,Exact,0.27000
test_otis,1,-100,2,HD,5.00000E-02
test_otis,1,-100,2,FD,5.00000E-02
test_otis,1,-100,2,CS,5.00000E-02
test_otis,1,-100,2,Exact,4.00000E-02
test_otis,1,-100,2,Otis,NaN
test_otis,1,-100,2,HD,5.00000E-02
test_otis,1,-100,2,FD,4.00000E-02
test_otis,1,-100,2,CS,4.00000E-02
test_otis,1,-100,2,Exact,4.00000E-02
test_otis,1,-100,2,Otis,NaN
test_otis,1,-100,2,HD,4.00000E-02
test_otis,1,-100,2,FD,6.00000E-02
test_otis,1,-100,2,CS,4.00000E-02
test_otis,1,-100,2,Exact,5.00000E-02
test_otis,1,-100,2,Otis,NaN
test_otis,1,-100,2,HD,5.00000E-02
test_otis,1,-100,2,FD,5.00000E-02
test_otis,1,-100,2,CS,4.00000E-02
test_otis,1,-100,2,Exact,4.00000E-02
test_otis,1,-100,2,Otis,NaN
test_otis,1,-100,2,HD,4.00000E-02
test_otis,1,-100,2,FD,5.00000E-02
test_otis,1,-100,2,CS,4.00000E-02
test_otis,1,-100,2,Exact,4.00000E-02
test_otis,1,-100,2,Otis,NaN
test_otis,1,-100,2,HD,4.00000E-02
test_otis,1,-100,2,FD,5.00000E-02
test_otis,1,-100,2,CS,4.00000E-02
test_otis,1,-100,2,Exact,5.00000E-02
test_otis,1,-100,2,Otis,NaN
test_otis,1,-100,2,HD,4.00000E-02
test_otis,1,-100,2,FD,4.00000E-02
test_otis,1,-100,2,CS,5.00000E-02
test_otis,1,-100,2,Exact,4.00000E-02
test_otis,1,-100,2,Otis,6.00000E-02
ne1_f100_inc10,1,-100.0,10,HD,9.00000E-02
ne1_f100_inc10,1,-100.0,10,FD,9.00000E-02
ne1_f100_inc10,1,-100.0,10,CS,8.00000E-02
ne1_f100_inc10,1,-100.0,10,Exact,9.00000E-02
ne1_f100_inc10,1,-100.0,10,Otis,9.00000E-02
ne2_f100_inc10,2,-100.0,10,HD,9.00000E-02
ne2_f100_inc10,2,-100.0,10,FD,0.10000
ne2_f100_inc10,2,-100.0,10,CS,0.10000
ne2_f100_inc10,2,-100.0,10,Exact,9.00000E-02
ne2_f100_inc10,2,-100.0,10,Otis,0.10000
ne4_f100_inc10,4,-100.0,10,HD,0.10000
ne4_f100_inc10,4,-100.0,10,FD,0.10000
ne4_f100_inc10,4,-100.0,10,CS,9.00000E-02
ne4_f100_inc10,4,-100.0,10,Exact,9.00000E-02
ne4_f100_inc10,4,-100.0,10,Otis,9.00000E-02
ne8_f100_inc10,8,-100.0,10,HD,0.11000
ne8_f100_inc10,8,-100.0,10,FD,0.10000
ne8_f100_inc10,8,-100.0,10,CS,0.10000
ne8_f100_inc10,8,-100.0,10,Exact,0.11000
ne8_f100_inc10,8,-100.0,10,Otis,0.11000
ne20_f100_inc10,20,-100.0,10,HD,0.14000
ne20_f100_inc10,20,-100.0,10,FD,0.11000
ne20_f100_inc10,20,-100.0,10,CS,0.12000
ne20_f100_inc10,20,-100.0,10,Exact,0.15000
ne20_f100_inc10,20,-100.0,10,Otis,0.12000
ne1_f100_inc10,1,-100.0,10,HD,9.00000E-02
ne1_f100_inc10,1,-100.0,10,FD,0.10000
ne1_f100_inc10,1,-100.0,10,CS,9.00000E-02
ne1_f100_inc10,1,-100.0,10,Exact,8.00000E-02
ne1_f100_inc10,1,-100.0,10,Otis,9.00000E-02
ne2_f100_inc10,2,-100.0,10,HD,9.00000E-02
ne2_f100_inc10,2,-100.0,10,FD,9.00000E-02
ne2_f100_inc10,2,-100.0,10,CS,9.00000E-02
ne2_f100_inc10,2,-100.0,10,Exact,8.00000E-02
ne2_f100_inc10,2,-100.0,10,Otis,0.10000
ne4_f100_inc10,4,-100.0,10,HD,0.11000
ne4_f100_inc10,4,-100.0,10,FD,0.10000
ne4_f100_inc10,4,-100.0,10,CS,9.00000E-02
ne4_f100_inc10,4,-100.0,10,Exact,0.10000
ne4_f100_inc10,4,-100.0,10,Otis,0.10000
ne8_f100_inc10,8,-100.0,10,HD,0.11000
ne8_f100_inc10,8,-100.0,10,FD,0.10000
ne8_f100_inc10,8,-100.0,10,CS,0.10000
ne8_f100_inc10,8,-100.0,10,Exact,0.10000
ne8_f100_inc10,8,-100.0,10,Otis,0.10000
ne20_f100_inc10,20,-100.0,10,HD,0.13000
ne20_f100_inc10,20,-100.0,10,FD,0.10000
ne20_f100_inc10,20,-100.0,10,CS,0.11000
ne20_f100_inc10,20,-100.0,10,Exact,0.12000
ne20_f100_inc10,20,-100.0,10,Otis,0.12000
default_otis_test,10,-1000,10,HD,0.10000
default_otis_test,10,-1000,10,FD,0.10000
default_otis_test,10,-1000,10,CS,0.10000
default_otis_test,10,-1000,10,Exact,0.10000
default_otis_test,10,-1000,10,Otis,0.12000
all_methods_test,5,-100,10,HD,0.10000
all_methods_test,5,-100,10,FD,0.10000
all_methods_test,5,-100,10,CS,9.00000E-02
all_methods_test,5,-100,10,Exact,0.11000
all_methods_test,5,-100,10,Otis,0.11000
default,1,-1000.0,10,HD,0.14000
default,1,-1000.0,10,FD,0.12000
default,1,-1000.0,10,CS,0.13000
default,1,-1000.0,10,Exact,0.13000
default,1,-1000.0,10,Otis,0.13000
default,1,-1000.0,10,HD,0.13000
default,1,-1000.0,10,FD,0.13000
default,1,-1000.0,10,CS,0.15000
default,1,-1000.0,10,Exact,0.13000
default,1,-1000.0,10,Otis,0.13000
test_ne1,1,-100,10,HD,9.00000E-02
test_ne1,1,-100,10,FD,9.00000E-02
test_ne1,1,-100,10,CS,9.00000E-02
test_ne1,1,-100,10,Exact,9.00000E-02
test_ne1,1,-100,10,Otis,0.10000
default,1,-1000.0,10,HD,0.12000
default,1,-1000.0,10,FD,0.13000
default,1,-1000.0,10,CS,0.13000
default,1,-1000.0,10,Exact,0.13000
default,1,-1000.0,10,Otis,0.13000
default,1,-1000.0,10,HD,0.13000
default,1,-1000.0,10,FD,0.13000
default,1,-1000.0,10,CS,0.13000
default,1,-1000.0,10,Exact,0.14000
default,1,-1000.0,10,Otis,0.13000
all_methods_test,10,-10000,10,HD,0.21000
all_methods_test,10,-10000,10,FD,0.19000
all_methods_test,10,-10000,10,CS,0.18000
all_methods_test,10,-10000,10,Exact,0.20000
all_methods_test,10,-10000,10,Otis,0.21000
all_methods_test,10,-100000,10,HD,0.35000
all_methods_test,10,-100000,10,FD,0.31000
all_methods_test,10,-100000,10,CS,0.32000
all_methods_test,10,-100000,10,Exact,0.31000
all_methods_test,10,-100000,10,Otis,0.35000
ne1_f100_inc10,1,-100.0,10,HD,9.00000E-02
ne1_f100_inc10,1,-100.0,10,FD,0.10000
ne1_f100_inc10,1,-100.0,10,CS,9.00000E-02
ne1_f100_inc10,1,-100.0,10,Exact,9.00000E-02
ne1_f100_inc10,1,-100.0,10,Otis,9.00000E-02
ne2_f100_inc10,2,-100.0,10,HD,0.10000
ne2_f100_inc10,2,-100.0,10,FD,9.00000E-02
ne2_f100_inc10,2,-100.0,10,CS,9.00000E-02
ne2_f100_inc10,2,-100.0,10,Exact,0.10000
